x y
292.873121 58.517331
293.60373 57.958611
295.67014 59.000862
297.381033 60.74403
298.506689 61.167142
299.675252 61.107701
301.111231 61.364441
303.321949 62.617442
304.13701 62.518822
304.140801 62.417501
305.06739 62.044411
306.70127 63.122442
307.239661 62.963241
307.910282 61.2847
309.855621 60.10829
310.127623 59.609242
310.066701 58.512261
309.686841 57.811841
309.5443 56.86404
310.48708 55.37195
310.171892 53.604171
310.843063 52.942152
311.47447 52.659861
311.471299 52.761201
313.777251 51.420862
314.803611 50.415112
315.056281 49.075221
314.284512 46.628842
314.925013 46.4481
315.779732 45.970472
315.78291 45.86913
316.5218 45.79489
317.436639 47.100671
318.816701 46.820862
320.475172 46.551252
321.259391 46.605161
322.298971 47.305492
322.330869 47.815912
324.08547 50.426292
323.103331 52.298981
321.98039 53.861482
320.072533 56.056401
318.968941 57.79642
318.799702 58.935812
318.960281 60.086731
319.65425 61.207152
319.933782 62.565582
320.462222 63.34974
322.66786 64.72908
322.86778 65.500491
322.56142 66.914271
321.42594 67.457222
320.919 68.81299
320.5318 69.002321
318.42891 68.262752
316.715641 67.97173
316.059162 68.58294
315.20492 68.372201
313.75656 70.508731
313.782113 71.883291
314.141861 73.118592
313.47412 74.72228
313.760281 76.56429
314.25195 77.678441
314.51878 78.67946
314.09858 80.445591
314.11528 80.675121
315.81397 82.748172
316.34794 84.065952
317.254691 84.913431
317.784232 85.670712
317.612253 86.88685
317.899449 88.041731
318.324642 88.184612
319.677481 87.954682
320.332871 88.05549
322.340721 89.275161
324.153232 90.308462
325.013422 90.365841
325.892751 89.889161
326.499622 89.937212
327.776141 91.74061
328.092342 91.420911
328.287939 90.257821
329.16745 89.094161
329.145622 88.330592
328.61822 87.4955
328.489671 86.194011
328.918771 85.548021
329.517562 85.137842
329.847442 85.12412
330.220161 85.341132
330.79864 85.464381
332.020222 84.645081
332.795582 82.891781
333.377362 82.25235
333.884722 82.24494
335.091893 82.493982
336.442421 82.314372
337.181111 82.901842
338.29228 83.01985
339.44973 82.57834
339.793642 82.209921
340.276512 82.1769
340.916189 82.68437
342.178013 82.858311
343.868302 81.724621
344.632472 81.625392
345.13322 81.796992
345.66045 82.605562
346.326552 85.14937
346.22489 85.14639
346.952361 86.72532
347.05317 86.728291
346.873832 88.146861
347.073941 89.57916
347.014562 89.80659
347.116052 89.809582
346.627372 90.683022
344.946162 92.249011
343.9382 92.77056
342.541471 92.821462
340.606221 92.36888
340.086509 92.70466
339.94789 93.71755
339.518582 95.024801
338.648999 97.283011
338.841309 98.230551
339.306222 98.68078
341.548512 101.10416
340.1102 102.96012
340.886733 103.87897
343.312672 105.445141
343.42053 105.95669
343.02728 106.98633
342.145892 108.174652
341.832082 109.130262
342.229411 110.00957
343.263162 110.83688
343.768772 111.568361
343.99477 113.662952
344.28622 114.004182
344.890613 115.451641
345.127982 117.240641
345.087231 117.437641
344.849981 118.57868
344.66261 120.199902
345.12117 121.488242
345.49787 123.614092
346.29325 123.84892
346.274163 124.929732
346.45884 126.131161
344.92086 127.373
344.22333 127.780772
343.637092 127.88842
342.771861 128.03555
341.785812 128.712362
341.221872 128.921052
341.333612 129.233641
341.01183 130.392301
338.820662 132.72709
338.410843 132.838972
337.26436 132.338531
335.414009 131.660431
334.85566 131.00286
334.220623 128.334252
333.572391 127.368792
332.52819 126.82163
332.245331 126.25121
332.75308 124.872281
331.450473 123.780181
331.297201 123.800221
330.302871 123.966901
328.574032 124.793131
328.149331 124.62483
327.404339 123.528101
327.505302 123.532042
327.251691 122.175041
327.1507 122.171112
326.67069 121.440891
326.772411 121.444841
326.971781 118.806791
326.643501 118.10731
324.998173 118.046522
323.772009 117.620162
321.153771 115.767642
319.625092 115.304372
318.23145 115.278522
317.352731 115.067521
315.435671 116.853611
314.041722 116.853331
313.41822 117.26222
312.521062 118.882431
310.964782 120.52958
309.707281 120.942551
309.260271 120.949922
308.794512 120.95901
307.90472 121.714862
307.401111 122.306182
306.261141 122.290201
305.41841 122.461941
304.821222 122.160301
303.326782 122.818731
302.132371 123.587281
301.54173 123.794431
301.536952 123.922461
300.633251 124.371861
300.329522 124.36097
299.645092 125.047831
299.674042 125.63356
299.823861 127.063742
299.330662 128.062832
299.993122 130.020542
300.645341 131.570782
299.382431 132.82245
299.65506 133.67146
